Company_Name,ship_name,built_year,gt,gt2,dwt,length,width,height,a_lenght,a_area,v_displaced,draught,depth_ofhole,v_ship,Q,time,time in min,y
HL GLADSTONE,Bulk Carrier,2011,9.3872,93872,179851,292,45,67.5,67,14,9164.458425,0.07,0.43,886950,40.64342505,21597.23351,3.599538919,5
VIENNA EXPRESS,Container Ship,2010,9.375,93750,103648,335,43,64.5,64,5,9152.547909,0.06,0.44,929122.5,14.68332387,62654.06661,10.44234444,11
CAPE CORMORANT,Bulk Carrier,2022,9.3719,93719,181500,292,45,67.5,67,20,9149.521467,0.07,0.43,886950,58.06203579,15118.32072,2.519720119,4
CORCOVADO,Container Ship,2015,9.3685,93685,116933,300,48,72,71,12,9146.202143,0.06,0.94,1036800,51.50782465,19951.41136,3.325235227,4
MEYNELL,Bulk Carrier,1997,9.3629,93629,185767,292,48,72,71,15,9140.735021,0.07,0.93,1009152,64.04139286,15615.07675,2.602512792,4
GLOVIS ADVANCE,Bulk Carrier,2012,9.3544,93544,179217,292,45,67.5,67,5,9132.436711,0.07,0.43,886950,14.51550895,60474.45987,10.07907664,11
MAERSK SYDNEY,Container Ship,2005,9.3511,93511,102861,335,43,64.5,64,4,9129.215014,0.06,0.44,929122.5,11.7466591,78319.56961,13.0532616,14
HL SALDANHA BAY,Bulk Carrier,2010,9.3461,93461,179147,292,45,67.5,67,19,9124.333655,0.07,0.43,886950,55.158934,15914.47845,2.652413075,4
PAROS,Bulk Carrier,2010,9.336,93360,182060,292,45,67.5,67,8,9114.47331,0.07,0.43,886950,23.22481432,37797.31087,6.299551812,7
GENCO TIGER,Bulk Carrier,2011,9.329,93290,179185,292,45,67.5,67,3,9107.639408,0.07,0.43,886950,8.709305368,100793.6137,16.79893561,18
CAPE KEYSTONE,Bulk Carrier,2011,9.3227,93227,179250,292,45,67.5,67,13,9101.488895,0.07,0.43,886950,37.74032326,23260.22766,3.87670461,5
WINNING SPIRIT,Bulk Carrier,2011,9.3175,93175,179213,292,45,67.5,67,16,9096.412282,0.07,0.43,886950,46.44962863,18899.04427,3.149840711,4
