Company_Name,ship_name,built_year,gt,gt2,dwt,length,width,height,a_lenght,a_area,v_displaced,draught,depth_ofhole,v_ship,Q,time,time in min,y
HYUNDAI PRIDE,Container Ship,2014,14.262,142620,145683,366,48,72,71,16,13923.58808,0.08,0.92,1264896,67.94256398,18412.20494,3.068700823,4
COSCO GLORY,Container Ship,2011,14.1823,141823,140637,366,48,72,72,11,13845.77922,0.08,0.08,1264896,13.77417874,90825.75769,15.13762628,16
MAERSK ESSEN,Container Ship,2010,14.1716,141716,148723,366,48,72,72,8,13835.33311,0.08,0.08,1264896,10.01758454,124886.4596,20.81440993,22
CELEBRITY BEYOND,Passenger (Cruise) Ship,2022,14.142,141420,13991,306,39,58.5,58,4,13806.43547,0.12,0.38,698139,10.91640967,62688.42829,10.44807138,11
OOCL POLAND,Container Ship,2013,14.1003,141003,144342,366,48,72,71,19,13765.72494,0.08,0.92,1264896,80.68179472,15506.9713,2.584495216,4
MARINER OF THE SEAS,Passenger (Cruise) Ship,2003,13.9863,139863,9616,311,39,58.5,58,12,13654.42995,0.11,0.39,709546.5,33.17734167,20974.91948,3.495819914,4
ONAIZA,LNG Tanker,2009,13.698,136980,121939,315,50,75,75,10,13372.9708,0.08,0.08,1181250,12.52198067,93266.15809,15.54435968,17
AL GHARRAFA,LNG Tanker,2008,13.641,136410,106898,315,50,75,74,10,13317.32331,0.08,0.92,1181250,42.46410249,27504.00004,4.584000007,6
BERGE ELBRUS,Bulk Carrier,2015,13.5472,135472,250379,325,57,85.5,85,15,13225.74902,0.07,0.43,1583887.5,43.54652684,36068.58836,6.011431393,7
SERI CAMELLIA,LNG Tanker,2016,13.3948,133948,84333,290,46,69,68,13,13076.9652,0.1,0.9,920460,54.6,16618.7369,2.769789484,4
INDIGO HOPE,Bulk Carrier,2013,13.2508,132508,251019,330,57,85.5,85,14,12936.38206,0.07,0.43,1608255,40.64342505,39251.57921,6.541929869,8
PETROBRAS-47,Offshore Support Vessel,1976,13.1242,131242,260349,344,52,78,78,13,12812.78606,0.07,0.07,1395264,15.22721248,90788.20011,15.13136668,16
MARVEL EAGLE,LNG Tanker,2018,12.8917,128917,83571,300,49,73.5,73,5,12585.80287,0.09,0.41,1080450,14.17391971,75340.07662,12.55667944,14
ENSHU MARU,LNG Tanker,2018,12.7088,127088,83708,293,49,73.5,73,6,12407.24276,0.09,0.41,1055239.5,17.00870365,61311.68362,10.21861394,11
ALTO ACRUX,LNG Tanker,2008,12.2361,122361,80229,288,49,73.5,73,5,11945.75909,0.08,0.42,1037232,14.34573107,71469.77981,11.91162997,13
LNG JUPITER,LNG Tanker,2009,12.1675,121675,81950,290,49,73.5,73,13,11878.78685,0.08,0.42,1044435,37.29890079,27683.28801,4.613881336,6
ENERGY FRONTIER,LNG Tanker,2003,11.9393,119393,73795,290,49,73.5,73,10,11656.00163,0.08,0.42,1044435,28.69146214,35996.03928,5.99933988,7
ELISA AQUILA,LNG Tanker,2022,11.8753,118753,95131,297,47,70.5,70,10,11593.52023,0.08,0.42,984109.5,28.69146214,33895.6577,5.649276283,7
YM TUTORIAL,Container Ship,2022,11.8523,118523,136899,333,48,72,71,12,11571.06598,0.07,0.93,1150848,51.23311429,22237.12046,3.706186743,5
EVER FUTURE,Container Ship,2021,11.734,117340,127076,334,48,72,71,10,11455.57303,0.07,0.93,1154304,42.69426191,26768.19731,4.461366219,5
UMM AL ASHTAN,LNG Tanker,1997,11.6703,116703,73100,290,48,72,72,12,11393.38452,0.08,0.08,1002240,15.02637681,65940.48772,10.99008129,12
CSCL SOUTH CHINA SEA,Container Ship,2014,11.6568,116568,121185,335,49,73.5,73,3,11380.20485,0.07,0.43,1206502.5,8.709305368,137223.6068,22.87060113,24
COOL RACER,LNG Tanker,2021,11.6354,116354,93423,299,46,69,68,18,11359.31263,0.08,0.92,949026,76.43538448,12267.44254,2.044573757,3
VENTURA,Passenger (Cruise) Ship,2008,11.6017,116017,8044,289,36,54,54,13,11326.41228,0.11,0.11,561816,19.08832104,28839.07844,4.806513074,6
GASLOG GEORGETOWN,LNG Tanker,2020,11.5636,115636,88184,293,46,69,69,11,11289.21632,0.08,0.08,929982,13.77417874,66696.73749,11.11612292,12
BW ENN SNOW LOTUS,LNG Tanker,2022,11.5373,115373,93980,295,46,69,68,4,11263.54037,0.08,0.92,936330,16.98564099,54461.67501,9.076945834,10
PAN AFRICA,LNG Tanker,2019,11.4996,114996,88438,290,47,70.5,70,9,11226.73493,0.08,0.42,960915,25.82231593,36777.8114,6.129635233,7
BW PAVILIONARANTHERA,LNG Tanker,2020,11.4622,114622,95788,295,46,69,69,4,11190.22236,0.08,0.08,936330,5.00879227,184703.1635,30.78386059,32
SPIRIT OF HELA,LNG Tanker,2010,11.4277,114277,87130,298,46,69,69,11,11156.54099,0.08,0.08,945852,13.77417874,67858.52547,11.30975425,12
BEIDOU STAR,LNG Tanker,2015,11.4166,114166,96355,290,47,70.5,70,18,11145.70437,0.08,0.42,960915,51.64463186,18390.4747,3.065079117,4
EXPRESS ROME,Container Ship,2011,11.3973,113973,122961,349,46,69,68,6,11126.86232,0.07,0.93,1107726,25.61655715,42808.21702,7.134702837,8
MARAN GAS ANDROS,LNG Tanker,2019,11.3793,113793,94638,295,46,69,68,19,11109.28943,0.08,0.92,936330,80.68179472,11467.52763,1.911254606,3
MACOMA,LNG Tanker,2017,11.3557,113557,95253,295,46,69,69,15,11086.24942,0.08,0.08,936330,18.78297101,49259.71243,8.209952072,9
NAVIOS UNISON,Container Ship,2010,11.3412,113412,118800,350,46,69,69,5,11072.09348,0.07,0.07,1110900,5.856620186,187792.2542,31.29870903,32
FLEX ENDEAVOUR,LNG Tanker,2018,11.3049,113049,95803,295,46,69,68,15,11036.65481,0.08,0.92,936330,63.69615373,14526.67533,2.421112555,3
SEASPAN THAMES,Container Ship,2014,11.2967,112967,115304,337,48,72,71,14,11028.64938,0.07,0.93,1164672,59.77196667,19300.74272,3.216790453,4
GASLOG GENEVA,LNG Tanker,2016,11.2764,112764,87760,291,46,69,68,12,11008.83107,0.08,0.92,923634,50.95692298,17909.73857,2.984956428,4
CMA CGM PELLEAS,Container Ship,2008,11.1249,111249,120854,350,43,64.5,64,7,10860.92589,0.07,0.43,970725,20.32171253,47233.42449,7.872237415,9
ISH,FSO,1995,11.0895,110895,71564,293,46,69,68,15,10826.36587,0.08,0.92,929982,63.69615373,14430.31612,2.405052687,3
CARNIVAL CONQUEST,Passenger (Cruise) Ship,2002,11.0475,110475,10000,290,36,54,54,6,10785.36246,0.1,0.1,563760,8.4,65830.31399,10.971719,12
GOLDEN SPRAY,Bulk Carrier,2021,10.9716,109716,210667,300,49,73.5,73,13,10711.26343,0.07,0.43,1080450,37.74032326,28344.71579,4.724119298,6
APL MIAMI,Container Ship,2014,10.9712,109712,115036,328,45,67.5,67,13,10710.87292,0.07,0.43,996300,37.74032326,26115.0155,4.352502584,5
ZIM YANTIAN,Container Ship,2006,10.9149,109149,107492,351,43,64.5,64,11,10655.90882,0.07,0.43,973498.5,31.93411968,30150.90445,5.025150741,6
CAPE BROLGA,Bulk Carrier,2021,10.8697,108697,211982,300,50,75,75,15,10611.78133,0.07,0.07,1125000,17.56986056,63426.12766,10.57102128,12
MINERAL YANGFAN,Bulk Carrier,2019,10.813,108130,206392,300,50,75,75,9,10556.42672,0.07,0.07,1125000,10.54191633,105715.4637,17.61924395,19
MINERAL HIROSHIGE,Bulk Carrier,2019,10.7916,107916,208572,300,50,75,74,20,10535.53451,0.07,0.93,1125000,85.38852382,13051.6891,2.175281516,3
GUANG LI HAI,Bulk Carrier,2017,10.7844,107844,207241,300,50,75,74,15,10528.50535,0.07,0.93,1125000,64.04139286,17402.36189,2.900393649,4
GOLDEN COMFORT,Bulk Carrier,2020,10.7737,107737,208385,300,50,75,74,5,10518.05924,0.07,0.93,1125000,21.34713095,52207.57502,8.701262503,10
HENRIETTE OLDENDORFF,Bulk Carrier,2016,10.77,107700,209067,300,50,75,74,8,10514.44704,0.07,0.93,1125000,34.15540953,32629.84014,5.438306691,6
LINDA OLDENDORFF,Bulk Carrier,2014,10.7553,107553,207562,300,50,75,75,12,10500.09584,0.07,0.07,1125000,14.05588845,79290.60539,13.2151009,14
FRIEDRICH OLDENDORFF,Bulk Carrier,2020,10.745,107450,208822,300,50,75,74,4,10490.04024,0.07,0.93,1125000,17.07770476,65261.10945,10.87685158,12
